Game Number,Date,Location,Result,Points,Opp. Points,FGA,FG%,3PA,3P%,TO,ORB
1,2018-10-17,v,W,116,104,92,.489,33,.424,9,8
2,2018-10-19,v,W,113,101,92,.467,35,.371,12,12
3,2018-10-20,@,W,117,113,88,.443,29,.345,17,14
4,2018-10-22,v,W,127,106,87,.575,39,.385,13,5
5,2018-10-24,v,W,112,105,89,.517,32,.344,16,11
6,2018-10-26,v,W,116,107,91,.484,27,.407,12,12
7,2018-10-29,@,L,109,124,103,.379,45,.200,10,15
8,2018-10-30,v,W,129,112,92,.511,27,.407,15,9
9,2018-11-02,@,W,107,98,81,.506,33,.364,13,6
10,2018-11-04,@,W,121,107,98,.500,35,.286,12,13
11,2018-11-05,@,W,124,111,86,.570,33,.394,14,7
12,2018-11-07,@,W,114,105,89,.461,36,.306,20,13
13,2018-11-10,v,W,128,112,79,.532,35,.400,15,12
14,2018-11-12,v,L,110,126,97,.402,45,.289,10,13
15,2018-11-14,v,L,104,106,92,.489,20,.200,20,12
16,2018-11-16,@,L,116,123,97,.433,29,.276,13,11
17,2018-11-17,@,W,122,83,89,.539,35,.400,23,8
18,2018-11-20,@,W,93,91,87,.448,34,.265,16,6
19,2018-11-21,@,W,124,108,90,.533,29,.379,17,14
20,2018-11-23,v,W,125,107,93,.495,39,.436,15,13
21,2018-11-25,v,W,125,115,90,.522,35,.314,9,11
22,2018-11-27,@,W,122,114,69,.609,33,.545,15,4
23,2018-11-29,v,W,131,128,90,.522,38,.395,14,7
24,2018-12-01,@,W,106,95,80,.488,26,.269,10,6
25,2018-12-03,v,L,103,106,87,.460,41,.268,17,7
26,2018-12-05,v,W,113,102,100,.430,29,.276,11,17
27,2018-12-07,@,L,105,106,89,.393,35,.314,15,6
28,2018-12-09,v,L,99,104,94,.415,44,.341,11,11
29,2018-12-11,@,W,123,99,96,.521,29,.483,7,10
30,2018-12-12,@,W,113,93,91,.484,28,.321,11,10
31,2018-12-14,@,L,122,128,78,.551,31,.581,16,6
32,2018-12-16,@,L,86,95,88,.398,35,.200,11,13
33,2018-12-19,v,W,99,96,93,.409,30,.233,9,11
34,2018-12-21,v,W,126,110,91,.527,31,.290,8,13
35,2018-12-22,@,L,101,126,95,.389,40,.250,15,8
36,2018-12-26,@,W,106,104,79,.468,30,.433,16,10
37,2018-12-28,@,L,87,116,95,.295,34,.353,11,14
38,2018-12-30,v,W,95,89,92,.370,33,.273,11,17
39,2019-01-01,v,W,122,116,82,.549,20,.350,9,5
40,2019-01-03,@,L,107,125,87,.448,30,.200,10,9
41,2019-01-05,@,W,123,116,82,.512,31,.452,11,4
42,2019-01-06,v,W,121,105,85,.518,33,.515,15,8
43,2019-01-08,v,W,104,101,80,.463,32,.313,18,6
44,2019-01-11,v,W,122,105,105,.457,35,.314,9,13
45,2019-01-13,@,W,140,138,104,.471,36,.361,21,17
46,2019-01-16,@,L,108,117,92,.446,29,.241,10,14
47,2019-01-17,v,W,111,109,86,.500,28,.250,14,9
48,2019-01-19,v,W,119,90,90,.489,36,.472,10,8
49,2019-01-22,v,W,120,105,91,.440,40,.400,16,12
50,2019-01-23,@,L,106,110,92,.413,39,.308,9,10
51,2019-01-25,@,L,119,121,91,.484,36,.389,19,12
52,2019-01-27,@,W,123,120,83,.446,34,.500,7,8
53,2019-01-31,v,L,92,105,93,.398,27,.259,16,8
54,2019-02-03,v,W,121,103,94,.457,33,.273,14,16
55,2019-02-05,@,W,119,107,89,.461,31,.355,10,15
56,2019-02-07,@,W,119,101,87,.460,40,.325,8,12
57,2019-02-09,@,W,104,99,86,.384,35,.400,12,10
58,2019-02-11,v,W,127,125,92,.543,31,.290,13,5
59,2019-02-13,v,W,129,120,92,.478,38,.421,14,9
60,2019-02-22,v,W,120,117,94,.426,30,.467,9,14
61,2019-02-24,v,L,98,113,91,.418,28,.393,13,6
62,2019-02-26,v,W,118,95,94,.489,36,.472,8,8
63,2019-03-01,v,W,119,117,81,.556,28,.357,14,2
64,2019-03-03,@,L,107,112,96,.385,39,.359,15,18
65,2019-03-05,v,L,95,107,89,.416,32,.281,13,16
66,2019-03-08,@,W,127,104,99,.535,37,.351,16,7
67,2019-03-10,@,W,125,104,74,.568,40,.525,19,6
68,2019-03-11,@,L,101,126,84,.476,39,.282,20,6
69,2019-03-14,v,W,111,98,91,.396,41,.390,17,13
70,2019-03-17,@,L,107,110,82,.476,36,.500,12,7
71,2019-03-18,v,W,128,92,88,.557,40,.425,14,5
72,2019-03-20,@,W,123,114,87,.517,36,.389,17,6
73,2019-03-22,v,L,109,116,78,.500,25,.520,21,11
74,2019-03-24,v,L,114,115,77,.584,26,.423,13,3
75,2019-03-26,v,W,112,103,86,.488,28,.429,15,2
76,2019-03-28,@,W,117,92,89,.449,47,.426,8,6
77,2019-03-30,@,W,124,101,89,.517,38,.474,11,6
78,2019-04-01,v,W,121,109,84,.500,37,.514,14,6
79,2019-04-03,@,W,115,105,105,.419,38,.395,7,17
80,2019-04-05,@,L,111,113,80,.538,26,.346,14,5
81,2019-04-07,v,W,117,109,87,.448,41,.390,11,4
82,2019-04-09,@,W,120,100,88,.523,37,.432,18,7

*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*

PPG+ 68%,-,-,-,125.25065228810772,-,-,-,-,-,-,-
PPG- 68%,-,-,-,103.62739649238009,-,-,-,-,-,-,-

FGP+ 68%,-,-,-,-,-,-,0.5340874176424354,-,-,-,-
FGP- 68%,-,-,-,-,-,-,0.41766867991854084,-,-,-,-

3PP+ 68%,-,-,-,-,-,-,-,-,0.4532534832870577,-,-
3PP- 68%,-,-,-,-,-,-,-,-,0.2771123703714785,-,-

TOG+ 68%,-,-,-,-,-,-,-,-,-,17.01459079242842,-
TOG- 68%,-,-,-,-,-,-,-,-,-,9.643945792937433,-

Average,-,-,-,114.4390243902439,-,-,0.4758780487804881,-,0.3651829268292681,13.329268292682928,-
Variance,-,-,-,116.89129780186697,-,-,0.0033883306233062336,-,0.007756422914784703,13.58160192713038,-
Std Dev,-,-,-,10.811627897863808,-,-,0.05820936886194725,-,0.08807055645778958,3.6853224997454945,-
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*


PPG Moving Averages
117.00000000000001,117.00000000000001,116.2,118.6,114.60000000000001,116.4,118.0,119.0,118.80000000000001,119.4,116.0,114.4,116.00000000000001,109.0,111.8,116.00000000000001,117.8,117.80000000000001,125.4,121.80000000000001,117.4,115.0,111.6,105.2,108.6,110.6,112.4,108.60000000000001,108.60000000000001,109.2,106.80000000000001,103.60000000000001,103.80000000000001,103.00000000000001,102.20000000000002,103.40000000000002,106.80000000000001,113.60000000000001,115.4,115.4,122.00000000000001,119.0,117.00000000000001,120.0,119.60000000000001,112.80000000000001,115.0,117.4,112.0,112.2,114.80000000000001,114.8,111.0,118.0,119.60000000000001,119.8,115.6,118.4,116.8,112.4,107.4,113.20000000000002,114.60000000000001,111.00000000000001,111.80000000000001,114.20000000000002,114.4,114.0,115.60000000000001,116.19999999999999,117.2,115.00000000000001,115.2,117.60000000000001,117.80000000000001,117.60000000000001,117.60000000000001,116.80000000000001

FGP Moving Averages
0.49820000000000003,0.49720000000000003,0.4796,0.4932,0.47940000000000005,0.4760000000000001,0.49319999999999997,0.5096,0.5138,0.49300000000000005,0.4908,0.46340000000000003,0.47900000000000004,0.46220000000000006,0.48840000000000006,0.48960000000000004,0.5074000000000001,0.5214,0.5362,0.5272,0.5202,0.5018,0.45860000000000006,0.43720000000000003,0.4438000000000001,0.44860000000000005,0.47280000000000005,0.47380000000000005,0.4726,0.4738,0.4548,0.43820000000000003,0.4176,0.40980000000000005,0.4142,0.42600000000000005,0.4348,0.47940000000000005,0.49800000000000005,0.4796,0.4842,0.4710000000000001,0.46740000000000004,0.4726,0.4692,0.45760000000000006,0.4652,0.4544,0.43620000000000003,0.4396,0.4492,0.4444,0.43200000000000005,0.4610000000000001,0.46520000000000006,0.45820000000000005,0.44980000000000003,0.4708,0.47340000000000004,0.45480000000000004,0.45280000000000004,0.47620000000000007,0.49200000000000005,0.476,0.4782,0.4902,0.4946,0.4844,0.48919999999999997,0.5268,0.5292,0.5076,0.5076,0.5076,0.4746,0.48460000000000003,0.48440000000000005,0.4856000000000001

3PP Moving Averages
0.3738,0.37040000000000006,0.33620000000000005,0.3486,0.34440000000000004,0.3328,0.33020000000000005,0.35140000000000005,0.35000000000000003,0.335,0.3178000000000001,0.2942,0.31300000000000006,0.28600000000000003,0.30400000000000005,0.3512,0.35880000000000006,0.38780000000000003,0.4138,0.39180000000000004,0.3582000000000001,0.3506000000000001,0.30440000000000006,0.2936000000000001,0.33640000000000003,0.3470000000000001,0.40800000000000003,0.3852,0.36360000000000003,0.325,0.3108,0.2812,0.3118,0.3198,0.33180000000000004,0.3218,0.3256,0.358,0.366,0.35880000000000006,0.391,0.34880000000000005,0.2958,0.3276,0.3448,0.3342,0.3638,0.41379999999999995,0.37120000000000003,0.3458,0.3552,0.34240000000000004,0.3224,0.3286,0.3582,0.38060000000000005,0.3942,0.4086,0.422,0.4096000000000001,0.37240000000000006,0.364,0.37460000000000004,0.35960000000000003,0.3658,0.4096000000000001,0.42440000000000005,0.3972,0.4448,0.4514,0.43720000000000003,0.4374,0.4544,0.4532,0.4476,0.431,0.4238,0.4154

TOV Moving Averages
13.400000000000002,14.000000000000002,13.6,13.200000000000001,13.200000000000001,12.4,12.8,14.8,14.8,14.200000000000001,15.8,15.6,16.2,16.4,17.799999999999997,16.800000000000004,16.0,14.400000000000002,14.000000000000002,12.6,13.0,13.400000000000002,13.400000000000002,12.8,12.200000000000001,11.0,12.0,11.2,10.8,11.0,11.8,11.8,11.8,12.2,12.400000000000002,11.4,10.399999999999999,11.2,12.6,12.600000000000001,14.8,14.600000000000001,14.400000000000002,12.8,14.2,11.8,13.600000000000001,12.200000000000001,13.400000000000002,13.000000000000002,13.200000000000001,11.0,12.0,11.4,11.4,11.200000000000001,12.200000000000001,11.4,11.600000000000001,11.8,12.6,13.2,15.400000000000002,16.6,17.0,16.8,16.400000000000002,16.0,16.200000000000003,15.4,16.0,14.8,13.600000000000001,12.2,11.0,10.8,11.400000000000002,12.799999999999999
